epic,name,index_name,source_url
III,3i Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
ADM,Admiral Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AAL,Anglo American,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
ANTO,Antofagasta,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AHT,Ashtead Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
ABF,Associated British Foods,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AZN,AstraZeneca,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AUTO,Auto Trader Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AVST,Avast,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AVV,AVEVA Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
AV.,Aviva,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BME,B&M European Value Retail,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BA.,BAE Systems,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BARC,Barclays,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BDEV,Barratt Developments,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BHP,BHP Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BP.,BP,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BATS,British American Tobacco,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BLND,British Land Company,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BT.A,BT Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BNZL,Bunzl,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
BRBY,Burberry Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
CCH,Coca-Cola HBC,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
CPG,Compass Group,FTSE 100,https://bullishbears.com/ftse-index-100-stocks-list/
